WorkOrderID,ProductID,OrderQty,StockedQty,ScrappedQty,StartDate,EndDate,DueDate,ScrapReasonID,ModifiedDate,,
158,811,274,450,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
229,811,62,549,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
300,811,516,371,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
338,811,100,354,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
589,811,76,580,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
739,811,618,698,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
786,811,568,421,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
902,811,40,803,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
973,811,563,850,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
1186,811,94,513,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
1233,811,88,329,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
1415,811,17,401,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
1550,811,452,381,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
1628,811,437,374,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
2210,811,485,704,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
2255,811,6,856,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
2657,811,74,864,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
2770,811,742,658,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
2812,811,46,774,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
3101,811,94,434,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
3218,811,81,829,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
3376,811,474,449,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
3480,811,595,740,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
3564,811,62,747,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
3598,811,469,625,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
3892,811,9,801,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
3937,811,65,674,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
3982,811,85,841,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
4087,811,17,374,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
4249,811,28,437,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
4361,811,99,682,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
4480,811,100,512,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
4584,811,736,409,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
4627,811,148,652,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
4771,811,76,743,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
4874,811,64,796,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
5144,811,25,461,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
5193,811,88,763,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
5394,811,45,437,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
5562,811,47,700,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
5694,811,457,552,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
5768,811,652,389,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
5812,811,19,848,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
5889,811,738,494,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
5929,811,429,471,0,00:00.0,00:00.0,00:00.0,,00:00.0,,
